Timestamp,Food,DaysAway,GamingHours,Colour,PeopleInHouse,WorstYear
2025/03/11 1:00:15 pm GMT+11,Burgers,0,2000,blue,28,1984
2025/03/11 1:01:44 pm GMT+11,Burgers,12,3,blue,6,2013
2025/03/11 1:02:10 pm GMT+11,Pizza,30,15,blue,3,2020
2025/03/11 1:03:59 pm GMT+11,Burgers,30,72,white,3,2019
2025/03/11 1:04:04 pm GMT+11,Pasta,10,8,navy,4,2008
2025/03/11 1:04:44 pm GMT+11,Pizza,7,4,ultra-violet,3,2010
2025/03/11 1:05:01 pm GMT+11,Pizza,5,13,green,4,2017
2025/03/11 1:05:11 pm GMT+11,Sausages,8,18,blue,5,2022
2025/03/11 1:05:25 pm GMT+11,Curry,18,11,blue,5,1997
2025/03/11 1:06:25 pm GMT+11,Pizza,22,3,white,4,2015
